Zipcode,Land Area sq meters,Water Area sq meters,Land Area sq miles,Water Area sq miles,Latitude,Longitude,Population,Population Density per sq mile
91371,"541,829",0,0.209,0.0,34.1850148,−118.5760882,0.0,0.0
91377,"13,971,948",0,5.395,0.0,34.1847243,−118.7665166,13987.0,2592.5857275254866
91381,"102,401,426","11,451",39.537,0.004,34.3732214,−118.6079714,19675.0,497.63512659028254
91384,"268,324,332","2,049,538",103.601,0.791,34.5201006,−118.6682759,28833.0,278.3081244389533
91387,"138,359,139","322,323",53.421,0.124,34.4025187,−118.3634627,41145.0,770.2027292637727
91390,"409,540,534","2,471,303",158.124,0.954,34.5765149,−118.4927643,19093.0,120.74700867673472
91401,"9,165,581","40,551",3.539,0.016,34.1784827,−118.4317905,40405.0,11417.066968070076
91402,"9,650,544","83,739",3.726,0.032,34.2225061,−118.4446893,70702.0,18975.30864197531
91403,"9,290,650","39,104",3.587,0.015,34.1477566,−118.4647376,25837.0,7202.955115695567
91405,"8,801,659","17,805",3.398,0.007,34.2024944,−118.4480475,56821.0,16721.8952324897
91406,"20,871,912","123,264",8.059,0.048,34.1974537,−118.4889780,54309.0,6738.925424990694
91411,"5,054,787",0,1.952,0.0,34.1785171,−118.4596299,24893.0,12752.561475409837
91423,"10,520,963","61,357",4.062,0.024,34.1494929,−118.4318823,32968.0,8116.198916789758
91436,"13,521,165","141,227",5.221,0.055,34.1495876,−118.4897076,16737.0,3205.707718827811
91501,"7,065,737","18,657",2.728,0.007,34.1935266,−118.2940063,19459.0,7133.064516129031
91502,"3,478,936","27,362",1.343,0.011,34.1768175,−118.3093233,11218.0,8352.94117647059
91504,"24,140,406","39,637",9.321,0.015,34.2130056,−118.3177360,27975.0,3001.2874155133572
91505,"13,865,783","29,478",5.354,0.011,34.1758332,−118.3475364,31139.0,5816.025401568921
91506,"6,276,224",196,2.423,0.0,34.1697056,−118.3235483,17864.0,7372.678497730087
91601,"6,828,749",498,2.637,0.0,34.168253,−118.3722855,35312.0,13390.97459233978
91602,"5,284,171","60,325",2.04,0.023,34.1508184,−118.3681589,20339.0,9970.098039215685
91604,"12,277,923","188,035",4.741,0.073,34.1401869,−118.3946025,34021.0,7175.912254798566
91605,"13,908,248","39,061",5.37,0.015,34.2073412,−118.4009730,52345.0,9747.672253258845
91606,"8,622,188","8,836",3.329,0.003,34.185767,−118.3883235,45003.0,13518.474016221087
91607,"6,390,468","63,532",2.467,0.025,34.165783,−118.3997954,31039.0,12581.678151601134
91608,"1,530,474","44,555",0.591,0.017,34.1387351,−118.3508573,18.0,30.456852791878173
91701,"19,144,371",0,7.392,0.0,34.1378277,−117.6003013,39954.0,5405.032467532467
91702,"168,430,816","3,343,647",65.032,1.291,34.2815249,−117.8000901,61464.0,945.1347029154878
91706,"35,042,250","2,523,770",13.53,0.974,34.0974098,−117.9682691,76581.0,5660.088691796009
91708,"20,912,795","249,662",8.074,0.096,33.9520837,−117.6397841,4880.0,604.4092147634382
91709,"116,067,933","123,913",44.814,0.048,33.9429693,−117.7256483,82800.0,1847.636899183291
91710,"57,016,741",0,22.014,0.0,34.0050965,−117.6825248,90481.0,4110.157172708276
91711,"38,684,276","354,059",14.936,0.137,34.128066,−117.7147728,36217.0,2424.812533476165
91722,"10,684,278","3,901",4.125,0.002,34.0973329,−117.9067071,34951.0,8472.969696969696
91723,"6,042,510","25,606",2.333,0.01,34.0847467,−117.8868443,17664.0,7571.367338191169
91724,"16,150,100","7,357",6.236,0.003,34.0789906,−117.8544111,27510.0,4411.481719050674
91730,"35,558,724","3,447",13.729,0.001,34.1004019,−117.5812819,74843.0,5451.453128414306
91731,"9,830,226","165,366",3.795,0.064,34.078573,−118.0434556,30313.0,7987.615283267457
91732,"11,757,662",0,4.54,0.0,34.0724071,−118.0145239,61075.0,13452.643171806167
91733,"17,473,858","891,721",6.747,0.344,34.0458086,−118.0537559,44908.0,6655.995257151327
91737,"26,133,232",0,10.09,0.0,34.1552382,−117.5780972,24064.0,2384.9355797819626
91739,"73,612,602","21,276",28.422,0.008,34.1563864,−117.5169361,39355.0,1384.6668074027161
91740,"12,974,433","42,228",5.009,0.016,34.1193673,−117.8550544,26099.0,5210.421241764823
91741,"52,756,076","359,427",20.369,0.139,34.1633629,−117.8341212,26071.0,1279.935195640434
91744,"22,511,863","3,452",8.692,0.001,34.0313002,−117.9367767,83396.0,9594.569719282099
91745,"33,541,043","60,949",12.95,0.024,33.9990053,−117.9721463,55394.0,4277.528957528958
91746,"15,045,564","496,678",5.809,0.192,34.0433041,−117.9868585,29876.0,5143.0538819073845
91748,"36,715,128","205,203",14.176,0.079,33.9782935,−117.9023171,46634.0,3289.6444695259593
91750,"48,011,636","457,129",18.537,0.176,34.1480578,−117.7666350,34468.0,1859.416302530075
91752,"39,062,164","542,295",15.082,0.209,33.996484,−117.5313345,36087.0,2392.7197984352206
91754,"11,705,648","24,958",4.52,0.01,34.0529224,−118.1434648,33343.0,7376.769911504425
