"Geographic Area Name (NAME)","Area (Land, in square meters) (AREALAND)","Area (Water, in square meters) (AREAWATR)","Area (Land, in square miles) (AREALAND_SQMI)","Area (Water, in square miles) (AREAWATR_SQMI)","Internal Point (Latitude) (INTPTLAT)","Internal Point (Longitude) (INTPTLON)"
"ZCTA5 91402","9,650,544","83,739","3.726","0.032","34.2225061","−118.4446893"
"ZCTA5 91403","9,290,650","39,104","3.587","0.015","34.1477566","−118.4647376"
"ZCTA5 91405","8,801,659","17,805","3.398","0.007","34.2024944","−118.4480475"
"ZCTA5 91406","20,871,912","123,264","8.059","0.048","34.1974537","−118.4889780"
"ZCTA5 91411","5,054,787","0","1.952","0.000","34.1785171","−118.4596299"
"ZCTA5 91423","10,520,963","61,357","4.062","0.024","34.1494929","−118.4318823"
"ZCTA5 91436","13,521,165","141,227","5.221","0.055","34.1495876","−118.4897076"
"ZCTA5 91501","7,065,737","18,657","2.728","0.007","34.1935266","−118.2940063"
"ZCTA5 91502","3,478,936","27,362","1.343","0.011","34.1768175","−118.3093233"
"ZCTA5 91504","24,140,406","39,637","9.321","0.015","34.2130056","−118.3177360"
"ZCTA5 91505","13,865,783","29,478","5.354","0.011","34.1758332","−118.3475364"
"ZCTA5 91506","6,276,224","196","2.423","0.000","34.1697056","−118.3235483"
"ZCTA5 91601","6,828,749","498","2.637","0.000","34.1682530","−118.3722855"
"ZCTA5 91602","5,284,171","60,325","2.040","0.023","34.1508184","−118.3681589"
"ZCTA5 91604","12,277,923","188,035","4.741","0.073","34.1401869","−118.3946025"
"ZCTA5 91605","13,908,248","39,061","5.370","0.015","34.2073412","−118.4009730"
"ZCTA5 91606","8,622,188","8,836","3.329","0.003","34.1857670","−118.3883235"
"ZCTA5 91607","6,390,468","63,532","2.467","0.025","34.1657830","−118.3997954"
"ZCTA5 91608","1,530,474","44,555","0.591","0.017","34.1387351","−118.3508573"
"ZCTA5 91701","19,144,371","0","7.392","0.000","34.1378277","−117.6003013"
"ZCTA5 91702","168,430,816","3,343,647","65.032","1.291","34.2815249","−117.8000901"
"ZCTA5 91706","35,042,250","2,523,770","13.530","0.974","34.0974098","−117.9682691"
"ZCTA5 91708","20,912,795","249,662","8.074","0.096","33.9520837","−117.6397841"
"ZCTA5 91709","116,067,933","123,913","44.814","0.048","33.9429693","−117.7256483"
"ZCTA5 91710","57,016,741","0","22.014","0.000","34.0050965","−117.6825248"
"ZCTA5 91711","38,684,276","354,059","14.936","0.137","34.1280660","−117.7147728"
"ZCTA5 91722","10,684,278","3,901","4.125","0.002","34.0973329","−117.9067071"
"ZCTA5 91723","6,042,510","25,606","2.333","0.010","34.0847467","−117.8868443"
"ZCTA5 91724","16,150,100","7,357","6.236","0.003","34.0789906","−117.8544111"
"ZCTA5 91730","35,558,724","3,447","13.729","0.001","34.1004019","−117.5812819"
"ZCTA5 91731","9,830,226","165,366","3.795","0.064","34.0785730","−118.0434556"
"ZCTA5 91732","11,757,662","0","4.540","0.000","34.0724071","−118.0145239"
"ZCTA5 91733","17,473,858","891,721","6.747","0.344","34.0458086","−118.0537559"
"ZCTA5 91737","26,133,232","0","10.090","0.000","34.1552382","−117.5780972"
"ZCTA5 91739","73,612,602","21,276","28.422","0.008","34.1563864","−117.5169361"
"ZCTA5 91740","12,974,433","42,228","5.009","0.016","34.1193673","−117.8550544"
"ZCTA5 91741","52,756,076","359,427","20.369","0.139","34.1633629","−117.8341212"
"ZCTA5 91744","22,511,863","3,452","8.692","0.001","34.0313002","−117.9367767"
"ZCTA5 91745","33,541,043","60,949","12.950","0.024","33.9990053","−117.9721463"
"ZCTA5 91746","15,045,564","496,678","5.809","0.192","34.0433041","−117.9868585"
"ZCTA5 91748","36,715,128","205,203","14.176","0.079","33.9782935","−117.9023171"
"ZCTA5 91750","48,011,636","457,129","18.537","0.176","34.1480578","−117.7666350"
"ZCTA5 91752","39,062,164","542,295","15.082","0.209","33.9964840","−117.5313345"
"ZCTA5 91754","11,705,648","24,958","4.520","0.010","34.0529224","−118.1434648"
"ZCTA5 91755","8,159,701","130,227","3.150","0.050","34.0509646","−118.1143942"
"ZCTA5 91759","213,754,101","2,067","82.531","0.001","34.2636985","−117.6995737"
"ZCTA5 91761","73,794,162","22,016","28.492","0.009","34.0356016","−117.5915284"
"ZCTA5 91762","37,039,177","0","14.301","0.000","34.0594090","−117.6692980"
"ZCTA5 91763","13,727,340","0","5.300","0.000","34.0720602","−117.6982882"
"ZCTA5 91764","20,477,990","53,055","7.907","0.020","34.0740868","−117.6056183"
"ZCTA5 91765","48,091,993","13,084","18.568","0.005","33.9851655","−117.8120046"
"ZCTA5 91766","26,154,976","13,041","10.098","0.005","34.0422858","−117.7561062"
"ZCTA5 91767","14,723,449","12,302","5.685","0.005","34.0830858","−117.7379975"
"ZCTA5 91768","21,237,997","845","8.200","0.000","34.0643625","−117.7909303"
"ZCTA5 91770","16,897,890","207,113","6.524","0.080","34.0651076","−118.0827912"
"ZCTA5 91773","38,787,875","1,010,338","14.976","0.390","34.1074851","−117.8087522"
"ZCTA5 91775","8,027,333","37,002","3.099","0.014","34.1152612","−118.0883108"
"ZCTA5 91776","8,652,744","1,122","3.341","0.000","34.0889524","−118.0944676"
"ZCTA5 91780","9,959,482","0","3.845","0.000","34.1015089","−118.0558587"
"ZCTA5 91784","23,673,021","504,270","9.140","0.195","34.1411459","−117.6555828"
